Monday: 09:00 - 17:00
Tuesday: 09:00 - 17:00
Wednesday: 09:00 - 18:00
Thursday: 09:00 - 17:00
Friday: 09:00 - 17:00
Saturday: 10:00 - 18:00
Sunday: 10:00 - 18:30

Day 1: 161 adults, 144 children
Day 183: 119 adults, 174 children
Day 184: 105 adults, 187 children
Day 185: 83 adults, 112 children
Day 186: 89 adults, 96 children
Day 187: 179 adults, 224 children
Day 188: 80 adults, 86 children
Day 189: 279 adults, 528 children
Day 190: 262 adults, 171 children
Day 191: 211 adults, 368 children
Day 192: 70 adults, 13 children
Day 193: 247 adults, 233 children
Day 194: 56 adults, 50 children
Day 195: 213 adults, 149 children
Day 196: 131 adults, 118 children
Day 197: 204 adults, 61 children
Day 198: 281 adults, 443 children
Day 199: 135 adults, 91 children
Day 200: 16 adults, 21 children
Day 201: 291 adults, 530 children
Day 202: 172 adults, 75 children
Day 203: 196 adults, 231 children
Day 204: 295 adults, 501 children
Day 205: 22 adults, 43 children
Day 206: 217 adults, 66 children
Day 207: 297 adults, 497 children
Day 208: 107 adults, 173 children
Day 209: 158 adults, 196 children
Day 210: 89 adults, 63 children
Day 211: 243 adults, 471 children
Day 212: 184 adults, 218 children
Day 213: 220 adults, 110 children
Day 214: 120 adults, 134 children
Day 215: 119 adults, 190 children
Day 216: 208 adults, 393 children
Day 217: 293 adults, 190 children
Day 218: 152 adults, 118 children
Day 219: 184 adults, 166 children
Day 220: 243 adults, 67 children
Day 221: 266 adults, 215 children
Day 222: 194 adults, 223 children
Day 223: 235 adults, 380 children
Day 224: 59 adults, 99 children
Day 225: 29 adults, 16 children
Day 226: 268 adults, 213 children
Day 227: 233 adults, 428 children
Day 228: 288 adults, 253 children
Day 229: 37 adults, 10 children
Day 230: 229 adults, 42 children
Day 231: 218 adults, 367 children
Day 232: 232 adults, 383 children
Day 233: 23 adults, 27 children
Day 234: 178 adults, 222 children
Day 235: 142 adults, 63 children
Day 236: 230 adults, 48 children
Day 237: 188 adults, 36 children
Day 238: 166 adults, 198 children
Day 239: 187 adults, 57 children
Day 240: 262 adults, 185 children
Day 241: 130 adults, 41 children
Day 242: 59 adults, 86 children
Day 243: 293 adults, 100 children
Day 244: 222 adults, 133 children
Day 245: 286 adults, 433 children
Day 246: 27 adults, 53 children
Day 247: 294 adults, 135 children
Day 248: 246 adults, 161 children
Day 249: 299 adults, 112 children
Day 250: 166 adults, 57 children
Day 251: 52 adults, 79 children
Day 252: 255 adults, 48 children
Day 253: 60 adults, 100 children
Day 254: 288 adults, 159 children
Day 255: 285 adults, 511 children
Day 256: 77 adults, 27 children
Day 257: 51 adults, 41 children
Day 258: 169 adults, 203 children
Day 259: 136 adults, 27 children
Day 260: 54 adults, 27 children
Day 261: 31 adults, 62 children
Day 262: 25 adults, 29 children
Day 263: 236 adults, 123 children
Day 264: 114 adults, 118 children
Day 265: 111 adults, 145 children
Day 266: 141 adults, 229 children
Day 267: 167 adults, 321 children
Day 268: 142 adults, 17 children
Day 269: 205 adults, 201 children
Day 270: 270 adults, 423 children
Day 271: 181 adults, 289 children
Day 272: 186 adults, 316 children
Day 273: 204 adults, 306 children
Day 274: 224 adults, 198 children
Day 275: 118 adults, 11 children
Day 276: 72 adults, 117 children
Day 277: 60 adults, 118 children
Day 278: 271 adults, 144 children
Day 279: 156 adults, 208 children
Day 280: 190 adults, 78 children
Day 281: 156 adults, 105 children
Day 282: 154 adults, 283 children
Day 283: 235 adults, 312 children
Day 284: 155 adults, 165 children
Day 285: 282 adults, 414 children
Day 286: 103 adults, 140 children
Day 287: 156 adults, 117 children
Day 288: 188 adults, 143 children
Day 289: 86 adults, 50 children
Day 290: 173 adults, 152 children
Day 291: 168 adults, 289 children
Day 292: 263 adults, 310 children
Day 293: 261 adults, 114 children
Day 294: 259 adults, 169 children
Day 295: 95 adults, 115 children
Day 296: 252 adults, 57 children
Day 297: 80 adults, 89 children
Day 298: 170 adults, 305 children
Day 299: 166 adults, 277 children
Day 300: 133 adults, 64 children
Day 301: 181 adults, 269 children
Day 302: 27 adults, 35 children
Day 303: 173 adults, 33 children
Day 304: 155 adults, 247 children
Day 305: 98 adults, 28 children
Day 306: 14 adults, 16 children
Day 307: 297 adults, 268 children
Day 308: 269 adults, 98 children
Day 309: 202 adults, 116 children
Day 310: 19 adults, 28 children
Day 311: 290 adults, 355 children
Day 312: 217 adults, 357 children
Day 313: 57 adults, 39 children
Day 314: 254 adults, 181 children
Day 315: 29 adults, 32 children
Day 316: 260 adults, 276 children
Day 317: 147 adults, 162 children
Day 318: 207 adults, 355 children
Day 319: 163 adults, 301 children
Day 320: 248 adults, 278 children
Day 321: 267 adults, 386 children
Day 322: 225 adults, 176 children
Day 323: 128 adults, 34 children
Day 324: 65 adults, 82 children
Day 325: 282 adults, 460 children
Day 326: 284 adults, 182 children
Day 327: 196 adults, 338 children
Day 328: 72 adults, 69 children
Day 329: 149 adults, 108 children
Day 330: 96 adults, 87 children
Day 331: 108 adults, 140 children
Day 332: 212 adults, 21 children
Day 333: 71 adults, 113 children
Day 334: 253 adults, 474 children
Day 335: 109 adults, 76 children
Day 336: 46 adults, 45 children
Day 337: 269 adults, 524 children
Day 338: 55 adults, 57 children
Day 339: 157 adults, 56 children
Day 340: 40 adults, 24 children
Day 341: 57 adults, 57 children
Day 342: 288 adults, 202 children
Day 343: 263 adults, 112 children
Day 344: 207 adults, 18 children
Day 345: 82 adults, 64 children
Day 346: 189 adults, 349 children
Day 347: 232 adults, 421 children
Day 348: 271 adults, 362 children
Day 349: 205 adults, 14 children
Day 350: 40 adults, 47 children
Day 351: 226 adults, 107 children
Day 352: 30 adults, 54 children
Day 353: 63 adults, 34 children
Day 354: 41 adults, 75 children
Day 355: 64 adults, 58 children
Day 356: 169 adults, 184 children
Day 357: 190 adults, 187 children
Day 358: 152 adults, 218 children
Day 359: 281 adults, 160 children
Day 360: 201 adults, 257 children
Day 361: 29 adults, 15 children
Day 362: 70 adults, 51 children
Day 363: 163 adults, 122 children
Day 364: 210 adults, 366 children
Day 365: 67 adults, 77 children
